,ativo,data,p_l,p_vp,lpa,divida_liquida_pl,pl_ativos,passivos_ativos,liquidez_corrente,margem_bruta,margem_liquida
0,ITSA4,2022-11-14,0.0,,,0,0,0,0,0,0
1,TRPL4,2022-11-14,6.045356148757354,0.942066814024382,3.920364560303304,0,0,0,0,0,0
2,PETR4,2022-11-18,1.9752891945253865,0.9318794595928416,13.532195728141247,0,0,0,0,0,0
3,QUAL3,2022-11-18,7.502757496942904,1.1497111743472035,0.8037045049712725,0,0,0,0,0,0
